ActionId,SourceType,MobDescription,LocationDescription,X,Y,Level,Note
11383,carnivale,提丰,假面狂欢20,,,50,
11383,trail,提丰,艾玛吉娜杯斗技大会决赛,,,50,
11384,trail,奥尔特罗斯,艾玛吉娜杯斗技大会决赛,,,50,
11385,special,自动习得,,,,1,
11386,dungeon,塞壬,领航明灯天狼星灯塔,,,50,BOSS #4，同一副本还有专属技能 4狂乱
11386,hunt,阿格拉俄珀,伊尔美格,,,80,
11387,carnivale,斗兽系统,假面狂欢15,,,50,
11387,raid,自卫系统,巴哈姆特大迷宫 邂逅之章1,,,50,
11387,raid,监视/净化/防卫/焚烧/迎击/防疫/自卫系统,巴哈姆特大迷宫 邂逅之章2,,,50,
11388,dungeon,魔界花、守财夫人,毒雾洞窟黄金谷,,,47,"BOSS #2前一只, BOSS #3前两只，BOSS #3"
11388,dungeon,人面树,风水灵庙岩燕庙,,,70,BOSS #2前小怪
11388,dungeon,魔界蔷薇,邪念妖地无限城古堡,,,50,1号boss后2体
11388,fate,污染魔界花,奥阔帕恰山：黑水,8.3,23.1,93,
11388,fate,紫魔花,太阳神草原：臭得冒泡,30.2,15.8,62,
11388,fate,太阳魔花纳兰切切格,太阳神草原：重逢的阻挠者——太阳魔花纳兰切切格,33,24.6,62,
11388,guildhests,剧毒魔花谭琳,行会令：讨伐污染源头魔界花！,,,30,
11388,map,魔界花,黑衣森林东部林区,23,21,44,
11388,map,套索花,黑衣森林南部林区,21,28,31,
11388,map,套索花、臭套索花,黑衣森林中央林区,18,21,31,
11388,map,魔界花,摩杜纳,14,14,44,
11388,map,紫魔花,太阳神草原,34.4,20.5,65,
11388,raid,方舟魔界花,魔航船虚无方舟,,,60,
11389,dungeon,祖,领航明灯天狼星灯塔,,,50,BOSS #2，打破两个蛋后使用，即死效果与比例伤害有效。同一副本还有专属技能 9苦闷之歌。
11389,hunt,角祖,拉诺西亚外地,,,50,
11390,carnivale,奥尔特罗斯,假面狂欢20,,,50,
11390,trail,奥尔特罗斯,艾玛吉娜杯斗技大会决赛,,,50,
11390,trail,利维亚桑,利维亚桑歼殛战,,,50,
11390,trail,利维亚桑,利维亚桑歼灭战,,,50,
11391,carnivale,启示者,假面狂欢25,,,50,
11391,dungeon,哥革巨像,骚乱坑道铜铃铜山,,,50,BOSS #2
11391,dungeon,喀恩守护者,苏醒遗迹喀恩埋没圣堂,,,50,BOSS #2后面
11391,jobquest,辉长岩巨像 ,魔法城邦玛哈的阴谋,,,53,学者53级职业任务，需与学者组队学习
11391,map,泥土巨像,黑衣森林北部林区,19,28,28,
11391,map,陨坑巨像,黑衣森林中央林区,11,16,34,
11391,map,玄岩巨像,拉诺西亚外地,16,16,34,
11391,map,砂石巨像,南萨纳兰,24,13,29,
11391,treasure,七彩巨像,惊奇百宝城,,,90,寻宝：陈旧的金毗罗鳄革地图（G14）
11392,dungeon,多节树精,邪念妖地无限城古堡,,,50,
11392,fate,蔷提可,拉凯提卡大森林：不燃怪树——蔷提可,,,74,
11392,hunt,乌尔伽鲁,黑衣森林东部林区,,,50,
11392,map,幼体树精,黑衣森林北部林区,27,28,12,
11392,map,幼体树精,黑衣森林东部林区,13,25,12,
11392,map,幼体树精,黑衣森林中央林区,27,15,12,
11393,guildhests, 鲁莽野猪,行会令：突破所有关门，讨伐最深处的敌人！,,,15,
11393,map,狂野疣猪,黑衣森林东部林区,18,24,20,
11394,dungeon,主宰者 加尔梵斯,地下灵殿塔姆·塔拉墓园,,,16,BOSS#3。解除限制时也必定学会。低于一定生命值后咏唱，别秒了。
11394,hunt,夺心魔,黑衣森林南部林区,,,50,
11394,raid,爆破者,亚历山大机神城 律动之章2,,,60,BOSS#1。无读条全屏AOE，解除限制时也必定学会。
11394,raid,爆破者,亚历山大机神城 律动之章4,,,60,击败的第三波敌人之一。无读条全屏AOE，解除限制时也必定学会。同一副本还有专属技能 80正义飞踢
11394,raid,爆破者、爆破者幻象,亚历山大零式机神城 律动之章2,,,60,低于一定生命值后召唤爆破者幻象，BOSS#1 解除限制时也必定学会。
11394,raid,爆破者,亚历山大零式机神城 律动之章4,,,60,击败的第三波敌人之一。解除限制时也必定学会。同一副本还有专属技能 80正义飞踢
11395,dungeon,金谷蝙蝠,毒雾洞窟黄金谷,,,47,BOSS #2前小怪
11395,dungeon,圣堂蝙蝠,古代遗迹喀恩埋没圣堂,,,35,BOSS #1前小怪
11395,dungeon,日影地蝙蝠,剑斗领域日影地修炼所,,,50,
11395,dungeon,沙漠蝙蝠,流沙迷宫樵鸣洞,,,38,开场小怪
11395,dungeon,阁楼蝙蝠,名门府邸静语庄园,,,28,BOSS #1前小怪
11395,dungeon,圣堂蝙蝠,苏醒遗迹喀恩埋没圣堂,,,50,BOSS #1前小怪
11395,map,小狐蝠,黑衣森林北部林区,23,25,37,
11395,map,漆黑蝙蝠、血蚤,黑衣森林东部林区,17,23,21,
11395,map,小狐蝠,黑衣森林南部林区,24,23,37,
11395,map,洞穴蝙蝠,拉诺西亚低地,27,16,7,
11395,map,黄昏蝙蝠,西拉诺西亚,28,24,15,
11395,map,烈阳蝙蝠,中萨纳兰,26,18,14,
11396,dungeon,青蓝之手滑翔兵,纷争要地布雷福洛克斯野营地,,,50,2号boss无限刷，boss之前同名怪不会使用该技能
11396,guildhests, 法外哥布林,行会令：击溃哥布林炸弹军团！,,,25,
11396,hunt,机工兵 斯利普金克斯,龙堡内陆低地,9.5,22,60,
11396,map,哥布林猎手,黑衣森林东部林区,11,28,11,
11396,map,哥布林暴徒,黑衣森林南部林区,28,21,28,
11396,map,哥布林滑翔兵,龙堡内陆低地,32.8,23.3,58,
11396,map,哥布林猎手,西拉诺西亚,27,23,18,
11396,map,哥布林劫匪,西萨纳兰,19,26,8,
11396,map,哥布林鱼师、哥布林赌徒,中拉诺西亚,23,21,5,
11397,dungeon,仙人刺逃兵,流沙迷宫樵鸣洞,,,38,BOSS #1后小怪
11397,map,仙人刺舞蹈家,南萨纳兰,16,15,24,
11398,dungeon,3号哥布林装甲,纷争要地布雷福洛克斯野营地,,,50,BOSS #2
11398,dungeon,第六大队魔导先锋,幻龙残骸密约之塔,,,50,BOSS#2召唤的小怪
11398,dungeon,多玛魔导先锋 ,解放决战多玛王城,,,67,BOSS #1后小怪
11398,fate,废弃的魔导先锋,北萨纳兰：逆向工程,,,46,
11398,map,魔导先锋强化型,北萨纳兰,16,15,50,血量低于 60% 后使用
11399,dungeon,拜书魔,秘本宝库迦巴勒幻想图书馆,,,60,BOSS #1前小怪，无读条顺劈，同一副本还有专属技能 60魔法锤 76小侦测。恰好是第一波怪中唯一有催眠抗性的，同步时推荐使用职能技能先将第一波全部催眠，等它放技能后寒冰咆哮+超振动
11399,dungeon,阿难塔波嘉,邪教驻地无限城古堡,,,50,
11399,levequests,焚书任务：回收禁书《尖牙利齿的怪物》 暗黑扎哈克,摩杜纳,,,50,
11399,raid,瓦力弗,水晶塔 古代人迷宫,,,50,
