ItemId,AchievementId,AchievementName
1675,129,Raising the Curtana
1746,130,Enter the Coeurl
1816,131,Cleaving to Tradition
1885,132,Having a Gae Old Time
1955,133,Hard to Miss
2052,134,Dressed to Heal
2140,135,Ohohohohoho!
2213,597,Green Eyes
2214,598,The Reader
7888,1053,Yoshimitsu's Island
10132,1078,Tool Time for the Hand
10133,1078,Tool Time for the Hand
10134,1078,Tool Time for the Hand
10135,1078,Tool Time for the Hand
10136,1078,Tool Time for the Hand
10137,1078,Tool Time for the Hand
10138,1078,Tool Time for the Hand
10139,1078,Tool Time for the Hand
10140,1079,Tool Time for the Land
10141,1079,Tool Time for the Land
10142,1079,Tool Time for the Land
13223,1406,Animaniac: Ancile & Almace
13224,1407,Animaniac: Verethragna
13225,1408,Animaniac: Ukonvasara
13226,1409,Animaniac: Rhongomiant
13227,1410,Animaniac: Gandiva
13228,1415,Animaniac: Kannagi
13229,1417,Animaniac: Nothung
13230,1416,Animaniac: Armageddon
13231,1411,Animaniac: Majestas
13232,1412,Animaniac: Hvergelmir
13233,1413,Animaniac: The Draconomicon
13234,1414,Animaniac: Tetrabiblos
13235,1418,Animaniac: Deneb
13597,1406,Animaniac: Ancile & Almace
13598,1407,Animaniac: Verethragna
13599,1408,Animaniac: Ukonvasara
13600,1409,Animaniac: Rhongomiant
13601,1410,Animaniac: Gandiva
13602,1415,Animaniac: Kannagi
13603,1417,Animaniac: Nothung
13604,1416,Animaniac: Armageddon
13605,1411,Animaniac: Majestas
13606,1412,Animaniac: Hvergelmir
13607,1413,Animaniac: The Draconomicon
13608,1414,Animaniac: Tetrabiblos
13609,1418,Animaniac: Deneb
13611,1406,Animaniac: Ancile & Almace
13612,1407,Animaniac: Verethragna
13613,1408,Animaniac: Ukonvasara
13614,1409,Animaniac: Rhongomiant
13615,1410,Animaniac: Gandiva
13616,1415,Animaniac: Kannagi
13617,1417,Animaniac: Nothung
13618,1416,Animaniac: Armageddon
13619,1411,Animaniac: Majestas
13620,1412,Animaniac: Hvergelmir
13621,1413,Animaniac: The Draconomicon
13622,1414,Animaniac: Tetrabiblos
13623,1418,Animaniac: Deneb
14870,1499,Hyper Animaniac: Ancile & Almace
14871,1500,Hyper Animaniac: Verethragna
14872,1501,Hyper Animaniac: Ukonvasara
14873,1502,Hyper Animaniac: Rhongomiant
14874,1503,Hyper Animaniac: Gandiva
14875,1508,Hyper Animaniac: Kannagi
14876,1510,Hyper Animaniac: Nothung
14877,1509,Hyper Animaniac: Armageddon
14878,1504,Hyper Animaniac: Majestas
14879,1505,Hyper Animaniac: Hvergelmir
14880,1506,Hyper Animaniac: The Draconomicon
14881,1507,Hyper Animaniac: Tetrabiblos
14882,1511,Hyper Animaniac: Deneb
15181,1581,Aetherpool Party: Sword & Shield
15182,1582,Aetherpool Party: Knuckles
15183,1583,Aetherpool Party: Axe
15184,1584,Aetherpool Party: Spear
15185,1585,Aetherpool Party: Bow
15186,1588,Aetherpool Party: Daggers
15187,1591,Aetherpool Party: Greatsword
15188,1592,Aetherpool Party: Revolver
15189,1587,Aetherpool Party: Cane
15190,1586,Aetherpool Party: Rod
15191,1589,Aetherpool Party: Grimoire
15192,1590,Aetherpool Party: Codex
15193,1593,Aetherpool Party: Astrometer
15223,1605,It's Alive: The Twin Thegns
15224,1606,It's Alive: The Sultan
15225,1607,It's Alive: The Blood Emperor
15226,1608,It's Alive: The Overlord
15227,1609,It's Alive: The Autarch
15228,1614,It's Alive: The Thorn Prince
15229,1616,It's Alive: The Tyrant
15230,1615,It's Alive: The Dynast
15231,1610,It's Alive: The White Tsar
15232,1611,It's Alive: The Black Khan
15233,1612,It's Alive: The Mad Queen
15234,1613,It's Alive: The Magnate
15235,1617,It's Alive: The Last Heir
15237,1667,It's Smart: The Twin Thegns
15238,1668,It's Smart: The Sultan
15239,1669,It's Smart: The Blood Emperor
15240,1670,It's Smart: The Overlord
